word,language,length,b_count,b_count_tier,distribution_pattern,residue_class,category,expected_answer,batch_id,chatgpt_answer,chatgpt_correct,gemini_answer,gemini_correct,chatgpt_runs,gemini_runs,length_range,wrong_model
ccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbacc,mod_3,58,53,very_high,clustered,2,negative,NO,mod3_batch005,NO,TRUE,YES,FALSE,1,1,31-60,gemini
baacabaccabaaaabaaaabacaabaaccbacac,mod_3,35,7,low,interleaved,1,near_miss,NO,mod3_batch005,NO,TRUE,YES,FALSE,1,1,31-60,gemini
cbcbbacbcbbbacbabbcacbacbbbbacbbbcbbaaa,mod_3,39,20,medium,random,2,negative,NO,mod3_batch005,NO,TRUE,YES,FALSE,1,1,31-60,gemini
cccaccccaacaacaacacaaccaaaacbbbbbbbbbbbbbbbbbbbbaaacaccaacacaaacacaaaaacccacaaacacaccaaaaa,mod_3,90,20,medium,clustered,2,negative,NO,mod3_batch005,NO,TRUE,YES,FALSE,1,1,61-100,gemini
caaabcbcbabcacabcbbabccbcbacc,mod_3,29,10,low,random,1,near_miss,NO,mod3_batch005,NO,TRUE,YES,FALSE,1,1,16-30,gemini
bbbbcbbbbcbbbbabbbc,mod_3,19,15,low,interleaved,0,positive,YES,mod3_batch005,YES,TRUE,NO,FALSE,1,1,16-30,gemini
bbbbbbbcbbabbbbbbbabbbbbbabbbbbbbbbbbabbbbbbbabbabcbbbabbbbb,mod_3,60,51,very_high,random,0,positive,YES,mod3_batch005,YES,TRUE,NO,FALSE,1,1,31-60,gemini
bbcacbbbbbbbbcbb,mod_3,16,12,low,random,0,positive,YES,mod3_batch006,YES,TRUE,NO,FALSE,1,1,16-30,gemini
acbcbbcaacacbbbabbcbbcaabcabbbc,mod_3,31,14,low,random,2,negative,NO,mod3_batch006,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbbabbbbbbbbbbbbbbcbbbbbbcbbbbbbb,mod_3,33,30,medium,random,0,positive,YES,mod3_batch006,NO,FALSE,YES,TRUE,1,1,31-60,chatgpt
bbbbbbbbbbbbbbabbbbbbbbbbbbbcbbbbbbbbbbbbbabbbbbbbbbbbbbc,mod_3,57,53,very_high,interleaved,2,negative,NO,mod3_batch006,YES,FALSE,NO,TRUE,1,1,31-60,chatgpt
cbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,28,27,medium,clustered,0,positive,YES,mod3_batch006,NO,FALSE,YES,TRUE,1,1,16-30,chatgpt
acbabaaccacbabcaabcc,mod_3,20,5,very_low,random,2,negative,NO,mod3_batch007,NO,TRUE,YES,FALSE,1,1,16-30,gemini
bbbbbbbbbbabbbbcbcabbbcbbb,mod_3,26,21,medium,random,0,positive,YES,mod3_batch007,YES,TRUE,NO,FALSE,1,1,16-30,gemini
ccbbbbbbbbbc,mod_3,12,9,low,clustered,0,positive,YES,mod3_batch007,YES,TRUE,NO,FALSE,1,1,1-15,gemini
aacbcabaacbcacbbabaccabcaaaaaabcabbcababcacaaaaa,mod_3,48,12,low,random,0,positive,YES,mod3_batch007,YES,TRUE,NO,FALSE,1,1,31-60,gemini
bcbcbbabbbbab,mod_3,13,9,low,random,0,positive,YES,mod3_batch007,YES,TRUE,NO,FALSE,1,1,1-15,gemini
bcbaabaabcbcabccbccbabccbaababcabacbca,mod_3,38,14,low,interleaved,2,negative,NO,mod3_batch007,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bcaaccccacacbaacccaacaccbacacccaacccbaccaacccaaca,mod_3,49,4,very_low,interleaved,1,near_miss,NO,mod3_batch007,NO,TRUE,YES,FALSE,1,1,31-60,gemini
ccccacccaaaaaaaaaccacaaaccacacacacacaaaaccccaaaccacacaabaacacacbcacccaccca,mod_3,74,2,very_low,random,2,negative,NO,mod3_batch007,NO,TRUE,YES,FALSE,1,1,61-100,gemini
acabbabbbccabbcccbcbaca,mod_3,23,9,low,random,0,positive,YES,mod3_batch007,YES,TRUE,NO,FALSE,1,1,16-30,gemini
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,48,48,high,random,0,positive,YES,mod3_batch007,NO,FALSE,YES,TRUE,1,1,31-60,chatgpt
caabccbacbcaacbccaaacccccccccabaccc,mod_3,35,5,very_low,random,2,negative,NO,mod3_batch007,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbbbbbbbcbbbbbbbbcbbbbbbbc,mod_3,26,23,medium,interleaved,2,negative,NO,mod3_batch007,NO,TRUE,YES,FALSE,1,1,16-30,gemini
babcbabcbcba,mod_3,12,6,low,interleaved,0,positive,YES,mod3_batch008,YES,TRUE,NO,FALSE,1,1,1-15,gemini
acccaaccaaaaacacbbccccacaaaacaaaccaccaaacacac,mod_3,45,2,very_low,clustered,2,negative,NO,mod3_batch008,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbbbbbbbbbbbcbbbbbbbbbbbbabbbbbbbbbbbbcbbbbbbbbbbbbcbbbbbbbbbbbc,mod_3,64,59,very_high,interleaved,2,negative,NO,mod3_batch009,NO,TRUE,YES,FALSE,1,1,61-100,gemini
bbaaaaacaabaacaccaaacccabc,mod_3,26,4,very_low,random,1,near_miss,NO,mod3_batch009,NO,TRUE,YES,FALSE,1,1,16-30,gemini
ccaacaaccaccaaacaccaaaaaaacaca,mod_3,30,0,very_low,interleaved,0,positive,YES,mod3_batch009,YES,TRUE,NO,FALSE,1,1,16-30,gemini
bbabcbabcbcbcbabcbcba,mod_3,21,11,low,interleaved,2,negative,NO,mod3_batch009,NO,TRUE,YES,FALSE,1,1,16-30,gemini
bbbbbbbbbbbbbbbbabbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,47,46,high,random,1,near_miss,NO,mod3_batch009,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbbbabbbbbbbbbbbbbbbbbbbbbbbbbabbbbbbbb,mod_3,39,37,high,random,1,near_miss,NO,mod3_batch009,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbcbbabbcbbcbbcbbabbcbbcbbabbabbabbcbba,mod_3,39,26,medium,interleaved,2,negative,NO,mod3_batch009,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bcccbccabacaa,mod_3,13,3,very_low,interleaved,0,positive,YES,mod3_batch009,YES,TRUE,NO,FALSE,1,1,1-15,gemini
bbbbabbbbabbbcbbbbabbba,mod_3,23,18,medium,interleaved,0,positive,YES,mod3_batch010,YES,TRUE,NO,FALSE,1,1,16-30,gemini
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbba,mod_3,89,87,very_high,interleaved,0,positive,YES,mod3_batch010,NO,FALSE,YES,TRUE,1,1,61-100,chatgpt
baacacbaaccabaaccaabaccacbaccccbacccaabacacabaaacca,mod_3,51,8,low,interleaved,2,negative,NO,mod3_batch010,NO,TRUE,YES,FALSE,1,1,31-60,gemini
babacbcabcbcabaabccbcbcabacbacbcbccbccbabcabccbaabcbcabccbcabcbaabcabac,mod_3,71,26,medium,interleaved,2,negative,NO,mod3_batch010,YES,FALSE,NO,TRUE,1,1,61-100,chatgpt
bbbbbbabbbbbbbbbbabbbbb,mod_3,23,21,medium,random,0,positive,YES,mod3_batch010,YES,TRUE,NO,FALSE,1,1,16-30,gemini
ccbbaaacaaacccacaccacccaaacccccacaacc,mod_3,37,2,very_low,clustered,2,negative,NO,mod3_batch010,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bcabcaabacbaccbaabcccbaabcccbccbaaabaabcaabcabcccbacbcacbaabcacbccbaaa,mod_3,70,20,medium,interleaved,2,negative,NO,mod3_batch010,NO,TRUE,YES,FALSE,1,1,61-100,gemini
bbbbcbaabbbbbbacbbbbbbabcbba,mod_3,28,20,medium,random,2,negative,NO,mod3_batch011,NO,TRUE,YES,FALSE,1,1,16-30,gemini
babcababbbbcbbbcb,mod_3,17,11,low,random,2,negative,NO,mod3_batch011,NO,TRUE,YES,FALSE,1,1,16-30,gemini
ccabbbbbbbbbbbbbac,mod_3,18,13,low,clustered,1,near_miss,NO,mod3_batch011,NO,TRUE,YES,FALSE,1,1,16-30,gemini
cacbabacbbaaa,mod_3,13,4,very_low,random,1,near_miss,NO,mod3_batch011,NO,TRUE,YES,FALSE,1,1,1-15,gemini
bbbcbbbcbbbc,mod_3,12,9,low,interleaved,0,positive,YES,mod3_batch011,YES,TRUE,NO,FALSE,1,1,1-15,gemini
baacccaaacca,mod_3,12,1,very_low,clustered,1,near_miss,NO,mod3_batch012,NO,TRUE,YES,FALSE,1,1,1-15,gemini
aacaacaaacaaaacbaaccacabaaaccaaccccacccaaccaaccccaaccaaabcaabacaccaaccbaaaaaaaccaabaaacccccbacc,mod_3,95,7,low,random,1,near_miss,NO,mod3_batch012,NO,TRUE,YES,FALSE,1,1,61-100,gemini
bbabbcbbaba,mod_3,11,7,low,interleaved,1,near_miss,NO,mod3_batch012,NO,TRUE,YES,FALSE,1,1,1-15,gemini
acacaccccaaacccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbacccacacacaaaaaaccaacaaaacc,mod_3,96,54,very_high,clustered,0,positive,YES,mod3_batch012,NO,FALSE,YES,TRUE,1,1,61-100,chatgpt
cacbbbbbbbbbbbbbbbbbbbbbbb,mod_3,26,23,medium,clustered,2,negative,NO,mod3_batch012,YES,FALSE,NO,TRUE,1,1,16-30,chatgpt
cccccaaacaaaacbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,54,40,high,clustered,1,near_miss,NO,mod3_batch012,NO,TRUE,YES,FALSE,1,1,31-60,gemini
accacccbbbbbbbbbbbbbbbbbbbb,mod_3,27,20,medium,clustered,2,negative,NO,mod3_batch013,YES,FALSE,NO,TRUE,1,1,16-30,chatgpt
ccbacc,mod_3,6,1,very_low,random,1,near_miss,NO,mod3_batch013,YES,FALSE,NO,TRUE,1,1,1-15,chatgpt
abacaaccacacacacabbbaaacbabccacabbaabaabccaaa,mod_3,45,10,low,random,1,near_miss,NO,mod3_batch013,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbca,mod_3,63,61,very_high,clustered,1,near_miss,NO,mod3_batch013,NO,TRUE,YES,FALSE,1,1,61-100,gemini
bbabbcbabbabcbbaba,mod_3,18,11,low,interleaved,2,negative,NO,mod3_batch013,NO,TRUE,YES,FALSE,1,1,16-30,gemini
cccccaaabaaccbbaaacaaacccbacccccccaccbccaaaaaaccaac,mod_3,51,5,very_low,random,2,negative,NO,mod3_batch014,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbbbbbbbbbabbbbbbbbbcbbbbbbbbbbcbbbbbbbbbc,mod_3,42,38,high,interleaved,2,negative,NO,mod3_batch014,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcaa,mod_3,54,51,very_high,clustered,0,positive,YES,mod3_batch014,YES,TRUE,NO,FALSE,1,1,31-60,gemini
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,96,96,very_high,interleaved,0,positive,YES,mod3_batch014,NO,FALSE,YES,TRUE,1,1,61-100,chatgpt
acccabbbbbbbbbbbbbbbbbbbbac,mod_3,27,20,medium,clustered,2,negative,NO,mod3_batch014,YES,FALSE,NO,TRUE,1,1,16-30,chatgpt
babcbcbababcbcbababababababcbabababcbcbabcbcc,mod_3,45,22,medium,interleaved,1,near_miss,NO,mod3_batch014,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbbcbcbbbabbcabbabbaccbbababa,mod_3,29,17,medium,random,2,negative,NO,mod3_batch014,NO,TRUE,YES,FALSE,1,1,16-30,gemini
bbbabbcbbbcbbabbc,mod_3,17,12,low,interleaved,0,positive,YES,mod3_batch014,NO,FALSE,YES,TRUE,1,1,16-30,chatgpt
bcaaaaccbacacaaaabccacaccc,mod_3,26,3,very_low,interleaved,0,positive,YES,mod3_batch015,YES,TRUE,NO,FALSE,1,1,16-30,gemini
ccbcbaccaabcccaaacaabacaabca,mod_3,28,5,very_low,random,2,negative,NO,mod3_batch015,NO,TRUE,YES,FALSE,1,1,16-30,gemini
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,53,53,very_high,clustered,2,negative,NO,mod3_batch015,YES,FALSE,NO,TRUE,1,1,31-60,chatgpt
baabaabcaabacbaaa,mod_3,17,5,very_low,interleaved,2,negative,NO,mod3_batch015,NO,TRUE,YES,FALSE,1,1,16-30,gemini
bccbcbbaccacbabbaa,mod_3,18,7,low,random,1,near_miss,NO,mod3_batch015,NO,TRUE,YES,FALSE,1,1,16-30,gemini
caaacaaacaacaacaacacccaaacacaacbcccabccacaacaaaccaaacaabbaaaaccbcacaacaacaac,mod_3,76,5,very_low,random,2,negative,NO,mod3_batch015,NO,TRUE,YES,FALSE,1,1,61-100,gemini
bacaaaaaacaacacccaacaaccaaacacacaabcaaaccacccaacacccaaaacccaaccaaaac,mod_3,68,2,very_low,interleaved,2,negative,NO,mod3_batch015,NO,TRUE,YES,FALSE,1,1,61-100,gemini
bcbababcbcabcbabcbaabcbcbabacbcbcbcbcc,mod_3,38,17,medium,interleaved,2,negative,NO,mod3_batch015,NO,TRUE,YES,FALSE,1,1,31-60,gemini
caacbccaaacacacacaacaac,mod_3,23,1,very_low,random,1,near_miss,NO,mod3_batch015,NO,TRUE,YES,FALSE,1,1,16-30,gemini
babbbbbbbbbbbbbbbbbcbbbbbbbbbbbbbbbbbbbbbabbbbbbbbbbbbbbabbbbbbbbbb,mod_3,67,63,very_high,random,0,positive,YES,mod3_batch016,NO,FALSE,YES,TRUE,1,1,61-100,chatgpt
bbbbbbbbbbbbbababbbbbb,mod_3,22,20,medium,random,2,negative,NO,mod3_batch016,NO,TRUE,YES,FALSE,1,1,16-30,gemini
bacaacaacaacccbccaaccacaaaccabacaaaaacaaaaca,mod_3,44,3,very_low,interleaved,0,positive,YES,mod3_batch016,NO,FALSE,YES,TRUE,1,1,31-60,chatgpt
cbcabcbbaaaccccbacbacbcaaabccaabcaccaacaaaaccca,mod_3,47,9,low,random,0,positive,YES,mod3_batch016,NO,FALSE,YES,TRUE,1,1,31-60,chatgpt
baabcabccbccbaabaabacbcc,mod_3,24,8,low,interleaved,2,negative,NO,mod3_batch016,NO,TRUE,YES,FALSE,1,1,16-30,gemini
ccaaccbaabaacbcabca,mod_3,19,4,very_low,random,1,near_miss,NO,mod3_batch016,NO,TRUE,YES,FALSE,1,1,16-30,gemini
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbc,mod_3,31,30,medium,clustered,0,positive,YES,mod3_batch016,YES,TRUE,NO,FALSE,1,1,31-60,gemini
bcbcbbbbaaabbcbcabbbbaabbcbbbbbbacabcabacccbcbbcbbccbcccabbcbaba,mod_3,64,33,high,random,0,positive,YES,mod3_batch016,NO,FALSE,YES,TRUE,1,1,61-100,chatgpt
aaccacccaaacaaacacaacaaacccacccccaaaccccaaacaaacaaacacccacabbbbbccaacaccaccaacccaacccacaacaa,mod_3,92,5,very_low,clustered,2,negative,NO,mod3_batch017,NO,TRUE,YES,FALSE,1,1,61-100,gemini
acccaacaaaaaaaccccaaacccbacaacccacccaccaaccaccaaaaaa,mod_3,52,1,very_low,clustered,1,near_miss,NO,mod3_batch017,NO,TRUE,YES,FALSE,1,1,31-60,gemini
acacaccaaccbbbbbbbbbbbbbbbbbbcacaacaaa,mod_3,38,18,medium,clustered,0,positive,YES,mod3_batch017,NO,FALSE,YES,TRUE,1,1,31-60,chatgpt
caabccaacaccaaacbacc,mod_3,20,2,very_low,random,2,negative,NO,mod3_batch017,NO,TRUE,YES,FALSE,1,1,16-30,gemini
aaacbcaaaacaacaabacccccaacccaaccacac,mod_3,36,2,very_low,random,2,negative,NO,mod3_batch017,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbabcbbbacbbbcbbbbaccacaabcbbcaabbaabbcabbaccabbbbbbcabbbbabbabbbbcbacbb,mod_3,72,41,high,random,2,negative,NO,mod3_batch017,NO,TRUE,YES,FALSE,1,1,61-100,gemini
bbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,25,25,medium,interleaved,1,near_miss,NO,mod3_batch017,YES,FALSE,NO,TRUE,1,1,16-30,chatgpt
bcbcbabcbababcbcababababababcbabccbcbcbababcbcbca,mod_3,49,23,medium,interleaved,2,negative,NO,mod3_batch017,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bcbbbbbbbbcbbbabbbcbbcbaabbbbabbbbbcbabbbbbbbbbbabbbbbbbbbbbbbbbacbabacbbbab,mod_3,76,59,very_high,random,2,negative,NO,mod3_batch017,NO,TRUE,YES,FALSE,1,1,61-100,gemini
ccaaacaccaaaacaaaccaaccacacaaaaaaacaacacaccccaaacacccaacaaccaabbbbbbbbbbbbbcccaaca,mod_3,82,13,low,clustered,1,near_miss,NO,mod3_batch018,NO,TRUE,YES,FALSE,1,1,61-100,gemini
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbca,mod_3,50,48,high,clustered,0,positive,YES,mod3_batch018,NO,FALSE,YES,TRUE,1,1,31-60,chatgpt
bcbabcbababcbababcbabababc,mod_3,26,13,low,interleaved,1,near_miss,NO,mod3_batch018,YES,FALSE,NO,TRUE,1,1,16-30,chatgpt
cabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbaacaacaaac,mod_3,81,69,very_high,clustered,0,positive,YES,mod3_batch018,NO,FALSE,YES,TRUE,1,1,61-100,chatgpt
bbabcbabcbababcbcbbcbababcbcbabababbababababcbabcbcba,mod_3,53,28,medium,interleaved,1,near_miss,NO,mod3_batch018,NO,TRUE,YES,FALSE,1,1,31-60,gemini
ccbbbbbbabbbbbabac,mod_3,18,12,low,random,0,positive,YES,mod3_batch018,YES,TRUE,NO,FALSE,1,1,16-30,gemini
cbcbbbbbcbabbbbbbbacbbbcbbbbbabacbcbbbbabbbbbbbbbbbbbbbbbbab,mod_3,60,47,high,random,2,negative,NO,mod3_batch018,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bcbacbacbcbcabccbcbaabccbabaabccbabcabacbabaabaababccbacbcbccbacbabaabacbabaabcabcbacbca,mod_3,88,33,high,interleaved,0,positive,YES,mod3_batch018,NO,FALSE,YES,TRUE,1,1,61-100,chatgpt
bbcbcbabcba,mod_3,11,6,low,interleaved,0,positive,YES,mod3_batch019,YES,TRUE,NO,FALSE,1,1,1-15,gemini
bbacbbccbbbabbbcabbbbbbbbcbbbbbbacbbbbacbbcbbcbabbbbbaab,mod_3,56,39,high,random,0,positive,YES,mod3_batch019,NO,FALSE,YES,TRUE,1,1,31-60,chatgpt
bcbacbcbacbcbcababccbabacbcc,mod_3,28,11,low,interleaved,2,negative,NO,mod3_batch020,NO,TRUE,YES,FALSE,1,1,16-30,gemini
cacacaaacccaccccaaacaacaccaccaacaacaccaccaccacccacbbbbbbbbbbbbbbbbbbbcaacaaacccac,mod_3,81,19,medium,clustered,1,near_miss,NO,mod3_batch020,NO,TRUE,YES,FALSE,1,1,61-100,gemini
bbbabbcbbbcbbabbbcbbcbbcbbbcbbabbbabbabbabbbabbabbbabbabba,mod_3,58,41,high,interleaved,2,negative,NO,mod3_batch020,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbbbbbabbbbbbbbbb,mod_3,17,16,medium,random,1,near_miss,NO,mod3_batch020,YES,FALSE,NO,TRUE,1,1,16-30,chatgpt
bbbbbbbabbbbbbbabbbbbbbabbbbbbbc,mod_3,32,28,medium,interleaved,1,near_miss,NO,mod3_batch020,NO,TRUE,YES,FALSE,1,1,31-60,gemini
acabbbbbbbbbbbbbbcca,mod_3,20,14,low,clustered,2,negative,NO,mod3_batch020,YES,FALSE,NO,TRUE,1,1,16-30,chatgpt
aabbbbbbbbbbbbbbbbbbbbbbbbbbbc,mod_3,30,27,medium,clustered,0,positive,YES,mod3_batch020,YES,TRUE,NO,FALSE,1,1,16-30,gemini
aabaacaaaaaaacabbbabaccbcaaacccaaccaaaabacacacaaabc,mod_3,51,8,low,random,2,negative,NO,mod3_batch021,NO,TRUE,YES,FALSE,1,1,31-60,gemini
abbbbbbbbbbbbbbbbbbc,mod_3,20,18,medium,clustered,0,positive,YES,mod3_batch021,YES,TRUE,NO,FALSE,1,1,16-30,gemini
bbbbbcbbbbcbbbba,mod_3,16,13,low,interleaved,1,near_miss,NO,mod3_batch021,NO,TRUE,YES,FALSE,1,1,16-30,gemini
babaabcbacbccbabacbcbccbacbabcababaabacbabacbcbacbaa,mod_3,52,20,medium,interleaved,2,negative,NO,mod3_batch021,YES,FALSE,NO,TRUE,1,1,31-60,chatgpt
