word,language,length,b_count,b_count_tier,distribution_pattern,residue_class,category,expected_answer,batch_id,chatgpt_answer,chatgpt_correct,gemini_answer,gemini_correct,chatgpt_runs,gemini_runs
bccaccaacaacaaaccaacacacaccabccacaaccaacaaacccacccaaccca,mod_3,56,2,very_low,interleaved,2,negative,NO,mod3_batch004,NO,TRUE,NO,TRUE,1,1
bbbbbbbbbbbbbbbbbbbba,mod_3,21,20,medium,interleaved,2,negative,NO,mod3_batch004,NO,TRUE,NO,TRUE,1,1
bbbbbbbbbbbabbbbbbbbbbbabbbbbbbbbbc,mod_3,35,32,high,interleaved,2,negative,NO,mod3_batch004,YES,FALSE,YES,FALSE,1,1
cccc,mod_3,4,0,very_low,random,0,positive,YES,mod3_batch004,YES,TRUE,YES,TRUE,1,1
aaaaccbbbbbbbbbbbbbbcaccccccccccccac,mod_3,36,14,low,clustered,2,negative,NO,mod3_batch004,NO,TRUE,NO,TRUE,1,1
bbbbbbbbbbbbb,mod_3,13,13,low,clustered,1,near_miss,NO,mod3_batch004,NO,TRUE,YES,FALSE,1,1
bbbbbcbbbabbbbbbbbcbbbbbbbbbb,mod_3,29,26,medium,random,2,negative,NO,mod3_batch004,NO,TRUE,YES,FALSE,1,1
bbbbbbbbbcbbbbbbbbbc,mod_3,20,18,medium,interleaved,0,positive,YES,mod3_batch004,YES,TRUE,YES,TRUE,1,1
ababbbccaaabbbaabbbabababbabbbacacbbbbbbccbaaabbbccb,mod_3,52,28,medium,random,1,near_miss,NO,mod3_batch004,NO,TRUE,YES,FALSE,1,1
cacaccaaaccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,49,38,high,clustered,2,negative,NO,mod3_batch004,YES,FALSE,YES,FALSE,1,1
bbbcbbbabbbcbbbabba,mod_3,19,14,low,interleaved,2,negative,NO,mod3_batch004,NO,TRUE,NO,TRUE,1,1
caaacccaaccbbbbbbbbbcccccccc,mod_3,28,9,low,clustered,0,positive,YES,mod3_batch004,YES,TRUE,YES,TRUE,1,1
cccacaacaaaaaaccaaaacaaaccacaacccaccacacccaccbbbbbbbbbbbbbbaaacacaaaccaacacccacaaaacccaccca,mod_3,91,14,low,clustered,2,negative,NO,mod3_batch004,NO,TRUE,NO,TRUE,1,1
acbbbbbbbba,mod_3,11,8,low,clustered,2,negative,NO,mod3_batch004,NO,TRUE,NO,TRUE,1,1
acaacaabcaaaaacaaaabccaccaacaacaacaaaccacaaccccaacacaa,mod_3,54,2,very_low,random,2,negative,NO,mod3_batch004,NO,TRUE,YES,FALSE,1,1
bcccbcccbacabcaabcccbcaacbaccbcacbcacbccabccca,mod_3,46,11,low,interleaved,2,negative,NO,mod3_batch004,NO,TRUE,YES,FALSE,1,1
bbcbbabcbbbbbcacbbbcbbbbbbcccbbcbabbcabbcccabaaababb,mod_3,52,30,medium,random,0,positive,YES,mod3_batch004,YES,TRUE,NO,FALSE,1,1
bbbbbbbbbabbbbbbbbbabbbbaabbbbaabbbbcbbb,mod_3,40,33,high,random,0,positive,YES,mod3_batch004,YES,TRUE,YES,TRUE,1,1
bbababbbcbbbcbbbbabbbbbabbbbcbbcabbbcbbbabcaba,mod_3,46,32,high,random,2,negative,NO,mod3_batch004,YES,FALSE,NO,TRUE,1,1
bbbbbbbccbccbbbbbbc,mod_3,19,14,low,random,2,negative,NO,mod3_batch004,YES,FALSE,NO,TRUE,1,1
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbc,mod_3,46,45,high,clustered,0,positive,YES,mod3_batch005,NO,FALSE,NO,FALSE,1,1
aaccaacaacaccacaaaaacaacacccacaaccaacaaaacacaaaabccaccccaaccaccaaacb,mod_3,68,2,very_low,random,2,negative,NO,mod3_batch005,NO,TRUE,YES,FALSE,1,1
acccaaaccbaacaaa,mod_3,16,1,very_low,clustered,1,near_miss,NO,mod3_batch005,NO,TRUE,NO,TRUE,1,1
aaabcac,mod_3,7,1,very_low,random,1,near_miss,NO,mod3_batch005,NO,TRUE,NO,TRUE,1,1
ccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbacc,mod_3,58,53,very_high,clustered,2,negative,NO,mod3_batch005,NO,TRUE,YES,FALSE,1,1
baccbcaccbaacbcaccbaacbcaac,mod_3,27,6,low,interleaved,0,positive,YES,mod3_batch005,YES,TRUE,YES,TRUE,1,1
c,mod_3,1,0,very_low,random,0,positive,YES,mod3_batch005,YES,TRUE,YES,TRUE,1,1
baacabaccabaaaabaaaabacaabaaccbacac,mod_3,35,7,low,interleaved,1,near_miss,NO,mod3_batch005,NO,TRUE,YES,FALSE,1,1
cbcbbacbcbbbacbabbcacbacbbbbacbbbcbbaaa,mod_3,39,20,medium,random,2,negative,NO,mod3_batch005,NO,TRUE,YES,FALSE,1,1
cccaccccaacaacaacacaaccaaaacbbbbbbbbbbbbbbbbbbbbaaacaccaacacaaacacaaaaacccacaaacacaccaaaaa,mod_3,90,20,medium,clustered,2,negative,NO,mod3_batch005,NO,TRUE,YES,FALSE,1,1
bacaacaaccbccaacacac,mod_3,20,2,very_low,interleaved,2,negative,NO,mod3_batch005,NO,TRUE,NO,TRUE,1,1
bcbcbcbcbabcbcbacbabababcbcbabccbcbcbcbcbababcabcbabcbcbabcbaa,mod_3,62,29,medium,interleaved,2,negative,NO,mod3_batch005,NO,TRUE,NO,TRUE,1,1
bbcbbcbbcbbababbabbabbabbcba,mod_3,28,18,medium,interleaved,0,positive,YES,mod3_batch005,YES,TRUE,YES,TRUE,1,1
aaacacaaccaacccccacacaaaaacccccccaaccacaccaaccca,mod_3,48,0,very_low,random,0,positive,YES,mod3_batch005,YES,TRUE,YES,TRUE,1,1
caaccccaaaacccacacaacaaccbaaccacccacc,mod_3,37,1,very_low,random,1,near_miss,NO,mod3_batch005,NO,TRUE,NO,TRUE,1,1
cbcbbcbabaaabcbbabcbbaabbabcabacccc,mod_3,35,15,low,random,0,positive,YES,mod3_batch005,YES,TRUE,YES,TRUE,1,1
caaabcbcbabcacabcbbabccbcbacc,mod_3,29,10,low,random,1,near_miss,NO,mod3_batch005,NO,TRUE,YES,FALSE,1,1
bbbbcbbbbcbbbbabbbc,mod_3,19,15,low,interleaved,0,positive,YES,mod3_batch005,YES,TRUE,NO,FALSE,1,1
bbbbbbbcbbabbbbbbbabbbbbbabbbbbbbbbbbabbbbbbbabbabcbbbabbbbb,mod_3,60,51,very_high,random,0,positive,YES,mod3_batch005,YES,TRUE,NO,FALSE,1,1
bbbbbbbbabbbbbbbabbbbbbbcbbbbbbbcbbbbbbba,mod_3,41,36,high,interleaved,0,positive,YES,mod3_batch005,YES,TRUE,YES,TRUE,1,1
bbbbbbabbbc,mod_3,11,9,low,random,0,positive,YES,mod3_batch006,YES,TRUE,YES,TRUE,1,1
bbbbbbbbabcbbbbbbbbbcbbabbbbbabbbbbbbbbbbbbbbbbbabbbbbbbbb,mod_3,58,52,very_high,random,1,near_miss,NO,mod3_batch006,NO,TRUE,NO,TRUE,1,1
bbcacbbbbbbbbcbb,mod_3,16,12,low,random,0,positive,YES,mod3_batch006,YES,TRUE,NO,FALSE,1,1
cabbbbbbbbccacccaacaaccaa,mod_3,25,8,low,clustered,2,negative,NO,mod3_batch006,NO,TRUE,NO,TRUE,1,1
bcbbbbbbbbbbbbb,mod_3,15,14,low,random,2,negative,NO,mod3_batch006,NO,TRUE,NO,TRUE,1,1
acccaaccaaccacaccaacacbbbbbbaaaaccaccccccacacacccaca,mod_3,52,6,low,clustered,0,positive,YES,mod3_batch006,YES,TRUE,YES,TRUE,1,1
aaaaaaccccaacccaacacaaacaaaacccaccccccaacccaaaacaaccc,mod_3,53,0,very_low,random,0,positive,YES,mod3_batch006,YES,TRUE,YES,TRUE,1,1
bbbbbbbbbbbbbbbbbbca,mod_3,20,18,medium,clustered,0,positive,YES,mod3_batch006,YES,TRUE,YES,TRUE,1,1
accaaccccbaaccaabbaccaaccacbbcabcaccca,mod_3,38,6,low,random,0,positive,YES,mod3_batch006,YES,TRUE,YES,TRUE,1,1
aaaccaabbbbccc,mod_3,14,4,very_low,clustered,1,near_miss,NO,mod3_batch006,NO,TRUE,NO,TRUE,1,1
bbabbcbcbbabbcbabbabbcbabbcbbcbabbabbaba,mod_3,40,25,medium,interleaved,1,near_miss,NO,mod3_batch006,NO,TRUE,NO,TRUE,1,1
ccaa,mod_3,4,0,very_low,random,0,positive,YES,mod3_batch006,YES,TRUE,YES,TRUE,1,1
baabaca,mod_3,7,2,very_low,interleaved,2,negative,NO,mod3_batch006,NO,TRUE,NO,TRUE,1,1
acbcbbcaacacbbbabbcbbcaabcabbbc,mod_3,31,14,low,random,2,negative,NO,mod3_batch006,NO,TRUE,YES,FALSE,1,1
bbbabbbbbbbbbbbbbbcbbbbbbcbbbbbbb,mod_3,33,30,medium,random,0,positive,YES,mod3_batch006,NO,FALSE,YES,TRUE,1,1
acccccacaccaacacaaaccaacccccaaaaaacccaccaaaaacaacacaaaaaccc,mod_3,59,0,very_low,clustered,0,positive,YES,mod3_batch006,YES,TRUE,YES,TRUE,1,1
bbbbbbbbbbbbbbabbbbbbbbbbbbbcbbbbbbbbbbbbbabbbbbbbbbbbbbc,mod_3,57,53,very_high,interleaved,2,negative,NO,mod3_batch006,YES,FALSE,NO,TRUE,1,1
bacbcacbcccbacbcaabcccbcabaaabcaabcabaacbcaa,mod_3,44,12,low,interleaved,0,positive,YES,mod3_batch006,YES,TRUE,YES,TRUE,1,1
bbababcbababbcbcbcbcbabbabcbababcbbcbababcbcbbababcbcbcbbabcbabababbcbababcba,mod_3,77,42,high,interleaved,0,positive,YES,mod3_batch006,NO,FALSE,NO,FALSE,1,1
cbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,28,27,medium,clustered,0,positive,YES,mod3_batch006,NO,FALSE,YES,TRUE,1,1
acbabaaccacbabcaabcc,mod_3,20,5,very_low,random,2,negative,NO,mod3_batch007,NO,TRUE,YES,FALSE,1,1
baacbaccbcaabaaabcacbaca,mod_3,24,6,low,interleaved,0,positive,YES,mod3_batch007,YES,TRUE,YES,TRUE,1,1
bbbbbbbbbbabbbbcbcabbbcbbb,mod_3,26,21,medium,random,0,positive,YES,mod3_batch007,YES,TRUE,NO,FALSE,1,1
ccbbbbbbbbbc,mod_3,12,9,low,clustered,0,positive,YES,mod3_batch007,YES,TRUE,NO,FALSE,1,1
aacbcabaacbcacbbabaccabcaaaaaabcabbcababcacaaaaa,mod_3,48,12,low,random,0,positive,YES,mod3_batch007,YES,TRUE,NO,FALSE,1,1
bcbcbbabbbbab,mod_3,13,9,low,random,0,positive,YES,mod3_batch007,YES,TRUE,NO,FALSE,1,1
bbbcbbabbbcbbcbbbcbbabbbcbba,mod_3,28,20,medium,interleaved,2,negative,NO,mod3_batch007,NO,TRUE,NO,TRUE,1,1
bbcbbcbbabbcbbcbbabcbbabbabbabbcbbaba,mod_3,37,24,medium,interleaved,0,positive,YES,mod3_batch007,YES,TRUE,YES,TRUE,1,1
bcbaabaabcbcabccbccbabccbaababcabacbca,mod_3,38,14,low,interleaved,2,negative,NO,mod3_batch007,NO,TRUE,YES,FALSE,1,1
bcaaccccacacbaacccaacaccbacacccaacccbaccaacccaaca,mod_3,49,4,very_low,interleaved,1,near_miss,NO,mod3_batch007,NO,TRUE,YES,FALSE,1,1
ccccacccaaaaaaaaaccacaaaccacacacacacaaaaccccaaaccacacaabaacacacbcacccaccca,mod_3,74,2,very_low,random,2,negative,NO,mod3_batch007,NO,TRUE,YES,FALSE,1,1
acabbabbbccabbcccbcbaca,mod_3,23,9,low,random,0,positive,YES,mod3_batch007,YES,TRUE,NO,FALSE,1,1
bbbbbbbbbacbbbbbbbbcbbbbbbbbbab,mod_3,31,27,medium,random,0,positive,YES,mod3_batch007,YES,TRUE,YES,TRUE,1,1
aaccaccccccccaaccccccaacaac,mod_3,27,0,very_low,random,0,positive,YES,mod3_batch007,YES,TRUE,YES,TRUE,1,1
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbc,mod_3,45,44,high,interleaved,2,negative,NO,mod3_batch007,NO,TRUE,NO,TRUE,1,1
bbbbbbbbbcaacacccaccaaaca,mod_3,25,9,low,clustered,0,positive,YES,mod3_batch007,YES,TRUE,YES,TRUE,1,1
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,48,48,high,random,0,positive,YES,mod3_batch007,NO,FALSE,YES,TRUE,1,1
caabccbacbcaacbccaaacccccccccabaccc,mod_3,35,5,very_low,random,2,negative,NO,mod3_batch007,NO,TRUE,YES,FALSE,1,1
bbbbbbbbcbbbbbbbbcbbbbbbbc,mod_3,26,23,medium,interleaved,2,negative,NO,mod3_batch007,NO,TRUE,YES,FALSE,1,1
bbbbbbb,mod_3,7,7,low,random,1,near_miss,NO,mod3_batch007,NO,TRUE,NO,TRUE,1,1
bbabbbc,mod_3,7,5,very_low,random,2,negative,NO,mod3_batch008,NO,TRUE,NO,TRUE,1,1
aaacccabbbbbbbbb,mod_3,16,9,low,clustered,0,positive,YES,mod3_batch008,YES,TRUE,YES,TRUE,1,1
bbbbbbbbbbbbabbbbbbbbbbbba,mod_3,26,24,medium,interleaved,0,positive,YES,mod3_batch008,YES,TRUE,YES,TRUE,1,1
aaaaabacaacccacacaaaccaaaacacaaaccaaacacaacccccacaaaaacacccccccaaaacaacacccccaacaaacaaaccccacca,mod_3,95,1,very_low,random,1,near_miss,NO,mod3_batch008,YES,FALSE,YES,FALSE,1,1
babcbabcbcba,mod_3,12,6,low,interleaved,0,positive,YES,mod3_batch008,YES,TRUE,NO,FALSE,1,1
ccbccbabbacbbacccbbbbcbb,mod_3,24,12,low,random,0,positive,YES,mod3_batch008,YES,TRUE,YES,TRUE,1,1
bcacbaccbcaccbaaabacac,mod_3,22,5,very_low,interleaved,2,negative,NO,mod3_batch008,NO,TRUE,NO,TRUE,1,1
bbbacbbcbbbbbbbabbbbbcbbbabbbaabcbcbabbcbbbbbaabbb,mod_3,50,36,high,random,0,positive,YES,mod3_batch008,YES,TRUE,YES,TRUE,1,1
aaacabbbbbbbbcaacccaac,mod_3,22,8,low,clustered,2,negative,NO,mod3_batch008,NO,TRUE,NO,TRUE,1,1
aa,mod_3,2,0,very_low,random,0,positive,YES,mod3_batch008,YES,TRUE,YES,TRUE,1,1
bbbbbbbbbbbbbbbbbbbcbbbbbbbbbbbbbbbbbbbabbbbbbbbbbbbbbbbbbbc,mod_3,60,57,very_high,interleaved,0,positive,YES,mod3_batch008,YES,TRUE,YES,TRUE,1,1
ababa,mod_3,5,2,very_low,random,2,negative,NO,mod3_batch008,NO,TRUE,NO,TRUE,1,1
ccccacacacaccaacccabbbbbbc,mod_3,26,6,low,clustered,0,positive,YES,mod3_batch008,YES,TRUE,YES,TRUE,1,1
ccbbbbbbbbbbbbbbbbbbbbcc,mod_3,24,20,medium,clustered,2,negative,NO,mod3_batch008,NO,TRUE,NO,TRUE,1,1
baccccaacbccccccac,mod_3,18,2,very_low,interleaved,2,negative,NO,mod3_batch008,NO,TRUE,NO,TRUE,1,1
acccaaccaaaaacacbbccccacaaaacaaaccaccaaacacac,mod_3,45,2,very_low,clustered,2,negative,NO,mod3_batch008,NO,TRUE,YES,FALSE,1,1
cbabcababcacaccbbbbccbbbacbbabccbbcaccccccabbbcabbbbbbababcbbbaabcbbbabcacaaaaaabcabababcbcccacba,mod_3,97,41,high,random,2,negative,NO,mod3_batch008,NO,TRUE,NO,TRUE,1,1
acabbbbbbbbbbbbbbbcaa,mod_3,21,15,low,clustered,0,positive,YES,mod3_batch008,NO,FALSE,NO,FALSE,1,1
ccacbbbaccaaacac,mod_3,16,3,very_low,clustered,0,positive,YES,mod3_batch008,YES,TRUE,YES,TRUE,1,1
aca,mod_3,3,0,very_low,random,0,positive,YES,mod3_batch008,YES,TRUE,YES,TRUE,1,1
bbbbbbbbbbbbcbbbbbbbbbbbbabbbbbbbbbbbbcbbbbbbbbbbbbcbbbbbbbbbbbc,mod_3,64,59,very_high,interleaved,2,negative,NO,mod3_batch009,NO,TRUE,YES,FALSE,1,1
bbaaaaacaabaacaccaaacccabc,mod_3,26,4,very_low,random,1,near_miss,NO,mod3_batch009,NO,TRUE,YES,FALSE,1,1
cabacaacaccaccaaccaaaccaaccbaaccccaaccaaacccaaaccccac,mod_3,53,2,very_low,random,2,negative,NO,mod3_batch009,NO,TRUE,NO,TRUE,1,1
ccaacaaccaccaaacaccaaaaaaacaca,mod_3,30,0,very_low,interleaved,0,positive,YES,mod3_batch009,YES,TRUE,NO,FALSE,1,1
bbabcbabcbcbcbabcbcba,mod_3,21,11,low,interleaved,2,negative,NO,mod3_batch009,NO,TRUE,YES,FALSE,1,1
bbcbbbcbbbcbbbbccbbbbbbbbbbbb,mod_3,29,24,medium,random,0,positive,YES,mod3_batch009,YES,TRUE,YES,TRUE,1,1
aaabbbb,mod_3,7,4,very_low,clustered,1,near_miss,NO,mod3_batch009,NO,TRUE,NO,TRUE,1,1
bbbbcbbbbbbbcbbbbbbbbbabbbcbbbbbbbbbbcabbbbcbbbbbbb,mod_3,51,44,high,random,2,negative,NO,mod3_batch009,YES,FALSE,YES,FALSE,1,1
bbbbbbbbbbbbbbbbabbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,47,46,high,random,1,near_miss,NO,mod3_batch009,NO,TRUE,YES,FALSE,1,1
ccacaaaccaacaaaacaca,mod_3,20,0,very_low,random,0,positive,YES,mod3_batch009,YES,TRUE,YES,TRUE,1,1
